pension_fund_name,pension_fund_state,fund_name,general_partner,asset_class,sub_strategy,vintage_year,commitment_mm,capital_called_mm,capital_distributed_mm,remaining_value_mm,net_irr,net_multiple,dpi,as_of_date,source_url,source_document,extraction_method,extraction_confidence
CalPERS,CA,2024 Golden Bay,2024 Golden Bay,Private Equity,,2025,100.0,24.096353999999998,0.0,24.094625,,0.9999,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,2SP I,2SP,Private Equity,,2024,300.0,126.52185999999999,0.0,130.10657899999998,,1.0283,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,57 Stars Global Opportunities Fund,57 Stars,Private Equity,Opportunistic,2007,430.0,414.6972,557.7702499999999,11.955556000000001,0.0590,1.3738,1.345,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,57 Stars Global Opportunities Fund 2 (CalPERS),57 Stars,Private Equity,Opportunistic,2009,500.0,528.839331,517.174941,242.248689,0.0590,1.436,0.9779,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,AACP AP Investors,AACP AP,Private Equity,,2007,14.10808,14.957429999999999,16.898666,0.028476000000001278,0.0200,1.1317,1.1298,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,AACP China Growth Investors,AACP China Growth,Private Equity,Growth Equity,2007,50.0,52.040183,83.160811,0.34606899999999996,0.0790,1.6047,1.598,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,AACP India Investors B,AACP India,Private Equity,,2007,5.0,5.283795,20.533202,0.5844029999999982,0.1280,3.9967,3.8861,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,AACP India Investors C,AACP India,Private Equity,,2009,5.0,5.315535,2.4119539999999997,2.3243150000000004,-0.0150,0.891,0.4538,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,AACP India Venture Investors A,AACP India Venture,Private Equity,Venture Capital,2007,5.0,5.065536,5.653594,0.07264299999999935,0.0190,1.1304,1.1161,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,AMZL,AMZL,Private Equity,,2023,600.0,223.965507,0.0,160.434913,,0.7163,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
