fund_name,vintage_year,asset_class,sub_strategy,calpers_mm,calstrs_mm,ny_common_mm,oregon_mm,wsib_mm,pension_count,avg_irr,avg_multiple
Blackstone Capital Partners VI,2011,Private Equity,Buyout,375.00,300.00,300.00,200.00,300.00,5,0.1228,1.8319
Blackstone Capital Partners VII,2016,Private Equity,Buyout,375.00,450.00,500.00,450.00,450.00,5,0.1363,1.7074
Blackstone Capital Partners VIII,2021,Private Equity,Buyout,262.50,750.00,500.00,500.00,750.00,5,0.1104,1.2547
Francisco Partners VI,2021,Private Equity,Buyout,250.00,300.00,200.00,250.00,300.00,5,0.1419,1.4347
Francisco Partners VII,2023,Private Equity,Buyout,450.00,300.00,250.00,250.00,300.00,5,0.1371,1.0785
Hellman & Friedman Capital Partners IX,2020,Private Equity,Buyout,578.72,450.00,325.00,280.00,750.00,5,0.1318,1.6142
Hellman & Friedman Capital Partners VIII,2016,Private Equity,Buyout,500.00,200.00,300.00,100.00,600.00,5,0.1060,1.7307
Hellman & Friedman Capital Partners X,2021,Private Equity,Buyout,940.01,600.00,500.00,350.00,1000.00,5,0.0552,1.1620
KKR 2006 Fund,2006,Private Equity,Buyout,400.00,300.00,600.00,1312.50,1500.00,5,0.0894,1.7443
TPG Growth IV,2018,Private Equity,Growth Equity,75.00,200.00,350.00,200.00,350.00,5,0.1437,1.6613
TPG Partners IV,2003,Private Equity,Buyout,200.00,350.00,75.00,300.00,175.00,5,0.1522,1.9387
TPG Partners V,2006,Private Equity,Buyout,600.00,1000.00,275.00,296.10,750.00,5,0.0453,1.3389
Thoma Bravo Fund XIV,2021,Private Equity,Buyout,600.00,300.00,400.00,250.00,200.00,5,0.0622,1.2086
Thoma Bravo Fund XV,2022,Private Equity,Buyout,348.29,300.00,400.00,250.00,200.00,5,0.1414,1.3290
Advent International GPE VI-A,2008,Private Equity,Buyout,500.00,234.77,,100.00,135.01,4,0.1583,2.0419
Apollo Investment Fund VI,2006,Private Equity,Buyout,520.00,250.00,350.00,200.00,,4,0.0846,1.5136
Blackstone Capital Partners V,2006,Private Equity,Buyout,38.40,1600.00,675.00,,400.00,4,0.0833,1.6509
