Fund Name,Vintage Year,Pension Fund,State,Commitment ($M),Net IRR (%),Net Multiple (x),As-Of Date
GA Continuity II (GT) Fund,2025,CalPERS,CA,31.6,,1.19x,2025-03-31
Pophouse Investment Platform SCA SICAV-RAIF ? Pophouse Co-Investment Fund II,2025,CalPERS,CA,37.0,,1.02x,2025-03-31
TPG Rise Climate II,2025,WSIB,WA,400.0,,-0.30x,2025-06-30
2SP I,2024,CalPERS,CA,300.0,,1.03x,2025-03-31
Acrew Diversify Capital Fund II,2024,CalPERS,CA,50.0,,0.67x,2025-03-31
B Capital Opportunities Fund II,2024,CalPERS,CA,240.0,,1.85x,2025-03-31
BGH Capital Fund II,2024,WSIB,WA,308.2,-39.6%,0.70x,2025-06-30
Coalesce Capital Fund I,2024,CalPERS,CA,150.0,,0.85x,2025-03-31
Coefficient Capital Fund II,2024,CalPERS,CA,81.8,,0.80x,2025-03-31
Forbion BioEconomy Fund I Co?peratief U.A.,2024,CalPERS,CA,37.8,,0.90x,2025-03-31
GI Data Infrastructure Fund II,2024,CalPERS,CA,150.0,,1.07x,2025-03-31
GSC I,2024,CalPERS,CA,400.0,,1.08x,2025-03-31
GTCR Strategic Growth II,2024,Oregon PERS,OR,75.0,,,2025-09-30
GreatPoint Opportunity Fund I,2024,CalPERS,CA,100.0,,1.11x,2025-03-31
HongShan Capital Expansion Fund I,2024,CalPERS,CA,134.0,,0.95x,2025-03-31
Jade Equity Investors II,2024,CalPERS,CA,150.0,,1.11x,2025-03-31
Jade Equity Investors II,2024,New York State Common Retirement Fund,NY,50.0,,,2024-03-31
Jade Equity Investors II,2024,WSIB,WA,125.0,34.2%,1.20x,2025-06-30
Set Builders II,2024,CalPERS,CA,70.0,,1.43x,2025-03-31
SignalFire XIR Venture Fund II,2024,CalPERS,CA,48.5,,0.85x,2025-03-31
Triangle Investment Opportunities II,2024,CalPERS,CA,"1,000.0",,1.01x,2025-03-31
Whitney Global Partners II,2024,CalPERS,CA,270.5,,1.07x,2025-03-31
Bain Capital Tech Opportunities Fund II,2023,CalPERS,CA,150.0,,1.23x,2025-03-31
Base10 Series B I,2023,CalPERS,CA,50.0,,0.93x,2025-03-31
Coefficient Capital Apex Fund I,2023,CalPERS,CA,83.7,,0.85x,2025-03-31
Crosspoint Capital Fund II,2023,CalPERS,CA,300.0,,1.15x,2025-03-31
Empire Co-Invest II,2023,New York State Common Retirement Fund,NY,100.0,,,2024-03-31
