Fund Name,Vintage Year,Sub-Strategy,Pension Fund,Commitment ($M),Net IRR (%),Net Multiple (x),As-Of Date
"Endeavour Capital Fund VI, L.P. - Secondary Purchase",2020,Secondaries,WSIB,11.2,176.8%,2.80x,2025-06-30
"Endeavour Capital Fund V, L.P. - Secondary Purchase",2020,Secondaries,WSIB,7.7,165.5%,2.70x,2025-06-30
Spectrum VIII-A Discretionary Overage Program,2019,,CalSTRS,20.0,91.3%,2.98x,2025-06-30
Francisco Partners Agility,2017,,CalSTRS,50.0,82.5%,4.96x,2025-06-30
"Summit Partners Europe Growth Equity Fund II, SCSP",2018,Growth Equity,CalSTRS,58.7,60.5%,3.27x,2025-06-30
USV 2016,2016,,Oregon PERS,19.0,48.9%,7.79x,2025-09-30
BDC III C,2017,,CalPERS,131.0,38.4%,3.48x,2025-03-31
Veritas Capital Fund VI,2017,,Oregon PERS,225.0,35.0%,2.87x,2025-09-30
Wigmore Street (BDC III),2017,,CalPERS,32.7,34.8%,3.25x,2025-03-31
HgCapital 8 A,2018,,CalSTRS,93.2,34.8%,2.63x,2025-06-30
Peak Rock Capital Fund II,2017,,CalSTRS,80.0,34.6%,2.08x,2025-06-30
TA XII,2016,,CalSTRS,180.0,34.5%,3.32x,2025-06-30
TA XII,2016,,WSIB,250.0,34.5%,2.90x,2025-06-30
Clearlake Capital Partners V,2018,,CalPERS,75.0,34.3%,2.04x,2025-03-31
Summit Partners Venture Capital Fund IV-A,2016,Venture Capital,CalSTRS,50.0,34.2%,2.73x,2025-06-30
A&M Capital Partners II,2018,,Oregon PERS,200.0,33.9%,2.14x,2025-09-30
USV 2019,2019,,Oregon PERS,15.0,33.7%,2.97x,2025-09-30
"H&F Samson Hockey 1, LP (Hub)",2020,,CalSTRS,0.0,33.7%,2.66x,2025-06-30
The Resolute Fund IV,2018,,CalSTRS,150.0,32.5%,2.63x,2025-06-30
"Clayton, Dubilier & Rice Fund X",2018,,CalPERS,150.0,30.9%,2.35x,2025-03-31
Francisco Partners Agility II,2020,,CalPERS,50.0,30.4%,2.12x,2025-03-31
"Clayton, Dubilier & Rice Fund X",2018,,CalSTRS,250.0,30.4%,2.27x,2025-06-30
Aquiline Financial Services Fund III,2015,,Oregon PERS,100.0,30.1%,2.31x,2025-09-30
Silver Lake III SL SPV-2,2019,,WSIB,63.3,30.0%,2.20x,2025-06-30
Spectrum Equity VIII-A,2018,,CalSTRS,110.0,29.6%,2.30x,2025-06-30
Lindsay Goldberg IV,2015,,CalPERS,136.9,28.9%,2.00x,2025-03-31
Francisco Partners Agility II,2020,,CalSTRS,50.0,28.7%,2.13x,2025-06-30
SL SPV-2,2019,,CalPERS,28.4,28.4%,3.53x,2025-03-31
Francisco Partners Agility II,2020,,Oregon PERS,50.0,28.0%,2.18x,2025-09-30
Clearlake Capital Partners IV,2015,,CalPERS,56.7,27.7%,2.05x,2025-03-31
JMI Equity Fund VIII,2015,,CalSTRS,100.0,26.7%,2.45x,2025-06-30
Olympus Growth Fund VII,2019,Growth Equity,CalSTRS,350.0,26.4%,2.04x,2025-06-30
Insight Venture Partners Growth-Buyout Coinvestment Fund (B),2015,Co-Investment,CalPERS,400.0,26.3%,3.55x,2025-03-31
Top Castle Sidecar VII,2020,,CalPERS,500.0,26.3%,1.67x,2025-03-31
Francisco Partners IV,2015,,CalSTRS,140.0,25.9%,3.06x,2025-06-30
Francisco Partners IV,2015,,WSIB,140.0,25.9%,3.00x,2025-06-30
Francisco Partners IV,2015,,Oregon PERS,150.0,25.5%,3.03x,2025-09-30
"Welsh, Carson, Anderson & Stowe XII",2015,,CalPERS,350.0,25.5%,2.53x,2025-03-31
Blackstone Energy Partners III,2020,Energy,CalSTRS,250.0,25.5%,1.74x,2025-06-30
"Endeavour Capital Fund VII, L.P. - Secondary Purchase",2020,Secondaries,WSIB,13.3,25.5%,1.80x,2025-06-30
HGGC III,2017,,CalSTRS,100.0,25.4%,2.30x,2025-06-30
New Mountain Partners V,2017,,WSIB,200.0,25.4%,2.30x,2025-06-30
Insight Venture Partners Growth-Buyout Coinvestment Fund (B),2015,Co-Investment,WSIB,50.0,25.3%,3.40x,2025-06-30
Genstar Capital Partners IX,2019,,Oregon PERS,120.0,25.3%,2.18x,2025-09-30
NEA 15 Opportunity Fund,2015,Opportunistic,CalSTRS,35.0,25.2%,3.68x,2025-06-30
Lone Star Fund XI,2019,,CalSTRS,200.0,25.1%,1.58x,2025-06-30
Genstar Capital Partners VIII,2017,,Oregon PERS,100.0,24.5%,2.66x,2025-09-30
ICG Strategic Equity Fund III,2020,,CalSTRS,150.0,24.5%,2.12x,2025-06-30
"Welsh, Carson, Anderson & Stowe XII",2015,,CalSTRS,150.0,24.1%,2.45x,2025-06-30
Blackstone Capital Partners Asia,2018,,WSIB,200.0,23.9%,2.00x,2025-06-30
Searchlight Capital Partners III,2020,,WSIB,300.0,23.6%,1.70x,2025-06-30
Summit Partners Growth Eqty Fund IX-A,2017,Growth Equity,CalSTRS,200.0,23.6%,2.16x,2025-06-30
Insight Venture Partners IX,2015,Venture Capital,CalPERS,100.0,23.4%,3.92x,2025-03-31
Insight Venture Partners IX,2015,Venture Capital,WSIB,150.0,23.0%,3.90x,2025-06-30
Insight Venture Partners X,2018,Venture Capital,CalPERS,250.0,23.0%,2.80x,2025-03-31
