fund_name,general_partner,vintage_year,asset_class,sub_strategy,pension_fund_count,pension_funds,total_commitment_mm,avg_net_irr,avg_net_multiple
2000 Riverside Capital Appreciation Fund,Riverside,2000,Private Equity,Buyout,1,Oregon,50.00,0.1910,1.7600
2003 Riverside Capital Appreciation Fund,Riverside,2003,Private Equity,Buyout,1,Oregon,75.00,0.1720,1.9500
2024 Golden Bay,2024 Golden Bay,2025,Private Equity,,1,CalPERS,100.00,,0.9999
2SP I,2SP,2024,Private Equity,,1,CalPERS,300.00,,1.0283
57 Stars Emerging Europe Fund (NYSCRF),57 Stars,2009,Private Equity,,1,NY Common,310.00,,1.5204
57 Stars Global Opportunities Fund,57 Stars,2007,Private Equity,Opportunistic,1,CalPERS,430.00,0.0590,1.3738
57 Stars Global Opportunities Fund 2 (CalPERS),57 Stars,2009,Private Equity,Opportunistic,1,CalPERS,500.00,0.0590,1.4360
57 Stars Global Opportunity Fund (NYSCRF),57 Stars,2020,Private Equity,Opportunistic,1,NY Common,200.00,,1.2273
57 Stars Global Opportunity Fund 5 - Direct Impact,57 Stars,2020,Private Equity,Opportunistic,1,NY Common,100.00,,0.9007
A&M Capital Partners,A&M Capital Partners,2012,Private Equity,,1,Oregon,100.00,0.2480,2.1700
A&M Capital Partners Europe I,A&M Capital Partners,2018,Private Equity,,1,Oregon,151.50,0.1610,1.7100
A&M Capital Partners II,A&M Capital Partners,2018,Private Equity,,1,Oregon,200.00,0.3390,2.1400
A&M Capital Partners III,A&M Capital Partners,2021,Private Equity,,1,Oregon,200.00,,1.3700
AACP AP Investors,AACP AP,2007,Private Equity,,1,CalPERS,14.11,0.0200,1.1317
AACP China Growth Investors,AACP China Growth,2007,Private Equity,Growth Equity,1,CalPERS,50.00,0.0790,1.6047
AACP India Investors B,AACP India,2007,Private Equity,,1,CalPERS,5.00,0.1280,3.9967
AACP India Investors C,AACP India,2009,Private Equity,,1,CalPERS,5.00,-0.0150,0.8910
AACP India Venture Investors A,AACP India Venture,2007,Private Equity,Venture Capital,1,CalPERS,5.00,0.0190,1.1304
