fund_name,vintage_year,asset_class,sub_strategy,pension_count,pensions,total_commitment_mm,avg_irr,avg_multiple
Evergreen Park Investment Fund,2021,Private Equity,,1,WSIB,4800.00,0.1769,1.4000
KKR 2006 Fund,2006,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",4112.50,0.0894,1.7443
NYSCRF NB Co-Investment Fund II,2020,Private Equity,Co-Investment,1,NY Common,4000.00,,1.2351
Hellman & Friedman Capital Partners X,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",3890.01,0.0552,1.1620
Blackstone Capital Partners V,2006,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,NY Common",3388.40,0.0833,1.6509
Blackstone Capital Partners VIII,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",3262.50,0.1104,1.2547
TPG Partners V,2006,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2921.10,0.0453,1.3389
KKR Millennium Fund,2002,Private Equity,Buyout,3,"WSIB,Oregon,NY Common",2750.00,0.1655,1.8150
KKR Americas Fund XII,2017,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",2750.00,0.1973,2.1345
Blackstone Capital Partners VII,2016,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2725.00,0.1363,1.7074
Hellman & Friedman Capital Partners IX,2020,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2708.72,0.1318,1.6142
TPG Partners VI,2008,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",2490.00,0.0958,1.4959
KKR North America Fund XIII SCSp,2022,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,NY Common",2425.00,0.1158,1.1849
CVC Capital Partners VIII (A),2021,Private Equity,Buyout,4,"CalPERS,CalSTRS,Oregon,NY Common",2398.73,0.0863,1.1751
Thoma Bravo Fund XIV,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2150.00,0.0622,1.2086
Lincoln Plaza Fund,2024,Private Equity,,1,CalPERS,2000.00,,1.1748
Vista Equity Partners Fund VII,2018,Private Equity,Buyout,2,"Oregon,NY Common",2000.00,0.0490,1.2266
Hellman & Friedman Capital Partners VIII,2016,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2000.00,0.1060,1.7307
Phoenix Bear Partners,2023,Private Equity,,1,CalPERS,1975.00,,1.2479
CA Co-Investment Limited Partnership,2022,Private Equity,Co-Investment,1,CalPERS,1950.00,0.1391,1.3248
Thoma Bravo Fund XV,2022,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1898.29,0.1414,1.3290
TA XV,2025,Private Equity,,3,"WSIB,Oregon,NY Common",1850.00,-0.1311,0.8995
Warburg Pincus Private Equity X,2007,Private Equity,Growth Equity,3,"WSIB,Oregon,NY Common",1850.00,0.0922,1.7596
Apollo Investment Fund IX,2019,Private Equity,Buyout,3,"CalPERS,CalSTRS,NY Common",1810.00,0.1631,1.5350
TPG Partners VII,2015,Private Equity,Buyout,3,"WSIB,Oregon,NY Common",1800.00,0.2018,1.9595
Hellman & Friedman Capital Partners XI,2025,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",1800.00,0.0000,
Francisco Partners VII,2023,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1800.00,0.1371,1.0785
Nordic Bear SCSp,2021,Private Equity,,1,CalPERS,1800.00,0.1151,1.2377
Blackstone Capital Partners VI,2011,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1775.00,0.1228,1.8319
BC CLP INVESTORS,2023,Private Equity,,1,CalPERS,1700.00,,1.1765
Hudson River Fund II,2001,Private Equity,,1,NY Common,1700.00,,1.5491
Apollo Investment Fund VI,2006,Private Equity,Buyout,4,"CalPERS,CalSTRS,Oregon,NY Common",1670.00,0.0846,1.5136
Innovation Opportunities,2023,Private Equity,Opportunistic,1,CalPERS,1668.57,,1.7487
KKR 1996 Fund,1997,Private Equity,Buyout,2,"WSIB,Oregon",1650.65,0.1320,1.6150
Providence Equity Partners VI,2007,Private Equity,Buyout,3,"CalSTRS,WSIB,NY Common",1650.00,0.0592,1.3951
Blackwell Capital Partners,2023,Private Equity,,1,CalPERS,1620.09,,1.2282
NYSCRF NB Co-Investment Fund,2015,Private Equity,Co-Investment,1,NY Common,1600.00,,2.0458
First Reserve Fund XI,2006,Private Equity,Energy,3,"CalPERS,CalSTRS,WSIB",1600.00,-0.0928,0.6754
