general_partner,fund_count,pension_count,total_commitment_mm,avg_irr,avg_multiple,earliest_vintage,latest_vintage
KKR,39,5,31189.30,0.1399,1.8656,1983,2025
TPG,31,5,21293.10,0.1411,1.5610,1994,2025
Blackstone,27,5,21126.74,0.1581,1.5877,2000,2025
Hellman & Friedman,7,5,11948.73,0.1287,1.9368,2004,2025
CVC Capital Partners,17,4,11876.61,0.1338,1.4895,2005,2024
Apollo,13,4,10844.56,0.1266,1.4253,1998,2023
Warburg Pincus,17,3,10375.21,0.1482,1.7802,1994,2024
Thoma Bravo,16,5,8797.78,0.1526,1.7106,2012,2025
Permira,15,4,8694.10,0.1270,1.6401,2000,2023
Vista Equity,9,4,7980.00,0.1309,1.7306,2007,2022
Carlyle,16,5,7720.62,0.0983,1.4681,2003,2022
Advent International,11,4,7150.58,0.1682,1.7936,2005,2025
TA,7,5,6600.00,0.1665,2.0204,2010,2025
Green Equity,9,4,6128.57,0.1538,1.7759,1999,2025
NYSCRF NB Co-Investment,3,1,6100.00,,1.5124,2015,2024
Francisco Partners,11,5,5700.00,0.2221,2.0209,2000,2025
Oaktree,10,5,5300.00,0.0789,1.5214,2009,2020
Silver Lake,10,2,5193.53,0.1770,1.9111,1999,2024
Bridgepoint,13,4,4942.96,0.1130,1.4099,2005,2024
Evergreen Park,1,1,4800.00,0.1769,1.4000,2021,2021
Cinven,15,4,4730.13,0.1676,1.5838,1996,2024
Providence Equity,9,4,4684.83,0.1849,1.5980,1996,2023
First Reserve,6,4,4325.00,0.0811,1.3023,1998,2014
Centerbridge,10,5,4180.60,0.1071,1.3478,2006,2025
GTCR,16,2,3930.01,0.2607,1.8100,1999,2024
Insight Partners,5,3,3900.00,0.0755,1.2350,2020,2024
EQT,8,3,3874.68,0.0570,1.3720,2006,2022
CVC European,5,4,3708.37,0.2441,2.1517,1996,2008
Apax,12,3,3634.70,0.1419,1.5284,1999,2024
Ares,9,3,3575.00,0.1174,1.5729,2004,2025
Trident,5,3,3470.00,0.1539,1.8059,2014,2025
TowerBrook,9,3,3251.79,0.1212,1.3297,2013,2024
Fisher Lynch Co-Investment Partnership,4,2,2950.00,0.1310,1.9133,2006,2019
Cerberus,8,3,2921.71,0.1126,1.8078,2007,2023
Nordic Capital,10,3,2803.46,0.1820,1.8656,1998,2023
KSL,4,3,2680.00,0.1189,1.4606,2006,2019
Clearlake,8,3,2627.40,0.1854,1.7672,2012,2025
Summit Partners,15,3,2561.50,0.1754,1.8795,2006,2025
Veritas Capital,6,3,2550.00,0.1722,1.4790,2010,2024
AlpInvest,5,2,2498.89,0.1459,1.5512,2017,2021
HarbourVest,19,3,2400.95,0.1255,1.6380,1985,2013
New Mountain,5,4,2230.42,0.1670,1.7177,2007,2024
Searchlight,6,3,2200.00,0.2816,1.5396,2011,2024
"Clayton, Dubilier & Rice",6,3,2182.27,0.1715,1.6150,1995,2024
Affinity Asia Pacific,4,3,2100.00,0.0919,1.4441,2007,2018
Genstar,9,4,2045.00,0.1449,1.6099,2007,2023
Triangle Investment,2,1,2000.00,,1.3563,2023,2024
Lincoln Plaza,1,1,2000.00,,1.1748,2024,2024
RRJ Capital Master,3,3,1975.00,0.0993,1.2540,2013,2021
Phoenix Bear,1,1,1975.00,,1.2479,2023,2023
